lrs2+N+N+L1/6G2/1ppp4p/p4kp2/4p4/2P4gB/PP1PPPP1P/3S1KS1L/1+rG1G2N1 w bsnl2Pp 42	8i8g
l1s2gsn1/7+Pl/p1nkg1p1p/1r2pp3/1P1p5/P1p1P4/1K1P1PPRP/3BG1S2/LN5NL w BgS3p 31	7c8e
lrs2gsn1/7bl/p1nkg1p1p/4pp1P1/1ppp5/PPP1P4/2SP1PP1P/1KGBG1SR1/LN5NL w P 21	7e7f
ln1g5/2sk4+B/p2p1p1p1/1rp3p2/Pp7/2PP3+rP/1PS1P1+n2/1BGKG4/LN6L w gSsnL3P2p 45	2f2h
3g1k1nl/1+N3s3/2+L1pp1g1/1s1p2pbp/l6p1/3PP4/1PSG1PP1P/1BG6/1+p1KR+r1NL w sn5p 38	S*5h
ln1gkg1nl/1r1s3s1/p1pppp1pp/6p2/1p7/2P4P1/PPSPPPP1P/2G3SR1/LN2KG1NL w Bb 7	9c9d
1+L2gk1n1/+b2g3sl/2srbp2p/3ppP1p1/6p1P/2P4S1/NGSP1+lP2/1K1G5/6RNL w n7p 40	4c4d
l6nl/6gk1/4ppsp1/1+S3b2p/1pP6/p1b2P1P1/PP2P1P1P/LSG3S1L/K6N1 w RrGg2n3Pp 40	9f9g+
1ns3gnl/l1rgks1b1/pp1p1pppp/2p1p4/2P6/9/PPSPPPPPP/1BGKG1SR1/LN5NL b - 9	7e7d
ln1g4G/2sk3sl/p2p1pnp1/1rp3p2/Pp3P3/2PP4P/1PS1P1PS1/1BGKG4/LN5+rL w Bn3P 41	2b1a
lrs2+N+N+L1/9/1ppp2k1p/p5p2/4p2B1/2P4P1/PP1PPPP1P/3S1KS1L/1+r2G2N1 w b2Ggsnl2P 39	G*3e
ln1g5/2sk2sbl/p1ppgpnpp/1r4pP1/1p7/2PP3R1/PPS1PPPSP/1BGKG4/LN5NL w P 19	2c2d
lr3+N+N+L1/1s7/1pppk+LG1p/p5p2/4p4/2P4gP/1GSPPPP2/1P3KSp+b/+r3G2N1 w bsnl3p 53	5c6d
ln1g5/2sk2sbl/p2p1pnpp/r1p2gp2/1p7/2PP3R1/PPS1PPPSP/1BGKG4/LN5NL w 2P 30	2b1a
+L4g1nl/2s1gksb1/+Rpplppp1p/3p3p1/9/2P6/1PSPPPPPP/1BGKG1SR1/1N5NL b N2p 18	N*9d
